Hong Kong,10,
South Korea,10,4
Brazil,10,
Russia,9,6
Japan,10,1
Taiwan,10,
Panama,10,2
Armenia,10,
Ukraine,9,1
South Africa,9,
Spain,10,
Poland,10,
Sweden,10,
France,9,2
Latvia,9,
Italy,9,
Mexico,9,1
United States,10,
India,10,4
Finland,10,
Canada,10,
Thailand,7,4
Bulgaria,10,
Indonesia,10,1
Georgia,9,2
Argentina,9,
Czechia,10,1
United Kingdom,10,1
Vietnam,10,1
Chile,10,1
Bangladesh,10,9
Nepal,6,1
Estonia,10,
Kuwait,10,9
Belarus,9,1
Venezuela,10,
Kazakhstan,7,2
Moldova,8,
Peru,10,
Lithuania,10,1
Mongolia,4,
China,9,9
Singapore,8,
Iran,5,1
Denmark,9,
Slovenia,10,
Uganda,9,1
Australia,9,1
Serbia,10,
Ghana,10,
Turkey,10,2
Egypt,1,
Uruguay,7,
Ecuador,10,2
Colombia,10,1
Belgium,10,2
Iceland,7,
Uzbekistan,2,
Netherlands,10,
Hungary,3,
Angola,7,
Romania,10,
Guam,9,
Costa Rica,10,
Portugal,9,
Algeria,8,8
Yemen,2,1
Ireland,10,
Malta,9,
Malaysia,10,1
Norway,10,
Germany,10,
Croatia,5,
Israel,10,2
Botswana,3,
Paraguay,10,
Brunei,2,
Cyprus,10,
New Zealand,10,
Pakistan,10,10
Greece,10,
Tajikistan,2,
Benin,9,
Macao,9,
Kenya,1,
Nicaragua,10,
Slovakia,10,
Iraq,10,
Philippines,10,4
Qatar,10,
Saint Lucia,3,
Saudi Arabia,10,1
Cambodia,4,
Tunisia,1,
Honduras,3,
Bosnia and Herzegovina,9,
Albania,10,
United Arab Emirates,2,
Dominican Republic,6,
Bolivia,1,
French Polynesia,7,
North Macedonia,2,
Mozambique,9,
Zimbabwe,3,
Libya,2,
Mauritius,1,
Azerbaijan,6,
Luxembourg,1,
Ivory Coast,1,
Guatemala,4,
Liberia,3,
Belize,1,
Somalia,1,
Burkina Faso,1,
Morocco,4,
Suriname,2,
Nigeria,2,
