Singapore,8,
South Korea,9,
Thailand,9,5
Armenia,9,
Italy,10,
Japan,8,5
Hong Kong,10,
Latvia,10,
Brazil,9,
United States,10,
Sweden,10,
Canada,9,
South Africa,10,1
Moldova,9,
Russia,10,5
Poland,10,
Ecuador,10,
Argentina,10,
Taiwan,10,
Mexico,9,
Iraq,10,
India,10,6
Panama,10,
Lithuania,10,
Czechia,10,
Ghana,8,
Qatar,9,
Malaysia,10,2
China,10,10
Spain,9,
Finland,10,
Kazakhstan,10,4
Bulgaria,10,
Pakistan,10,10
Bangladesh,10,9
Australia,10,
Ukraine,10,1
Nicaragua,9,
Kuwait,10,10
Uganda,10,
Bosnia and Herzegovina,9,
Colombia,10,
Romania,10,
Macao,10,
France,9,
Chile,10,
Trinidad and Tobago,6,
Paraguay,10,
Slovenia,10,
Denmark,8,
Venezuela,10,1
Georgia,8,
Ireland,10,
Vietnam,10,2
Philippines,10,
Guatemala,2,
Malta,6,
United Kingdom,10,
Botswana,2,
Somalia,3,
Indonesia,10,1
Norway,9,
Mozambique,9,
Dominican Republic,10,
Turkey,10,3
Morocco,9,
Nepal,10,2
Greece,8,
Albania,10,
Azerbaijan,8,3
Puerto Rico,8,1
Cyprus,7,
Oman,1,
Benin,10,
Cambodia,10,
Croatia,10,
Serbia,10,
Estonia,10,
Belarus,10,
Hungary,6,
Angola,10,
Namibia,5,
Germany,10,3
Costa Rica,6,
United Arab Emirates,9,1
Yemen,7,5
Mongolia,6,
Seychelles,6,
North Macedonia,10,
Guam,10,
Northern Mariana Islands,2,
Netherlands,10,
Tanzania,7,
Liberia,7,
Tajikistan,7,
Portugal,10,
Belgium,8,
Uruguay,5,
Curacao,6,
Guadeloupe,1,
Israel,8,3
Bolivia,9,
Switzerland,2,
El Salvador,4,
Uzbekistan,7,
Austria,2,
Brunei,2,
Peru,2,
Suriname,7,
Algeria,1,1
Libya,5,5
U.S. Virgin Islands,2,
Gambia,2,
Honduras,3,
Luxembourg,2,
Palestine,1,1
Bahrain,1,
Saudi Arabia,4,
New Zealand,6,
Kenya,1,
Nigeria,6,
Senegal,2,
