New Zealand,6,
Sweden,10,
South Korea,10,2
Brazil,10,
Hong Kong,10,
Armenia,10,
India,10,4
Italy,10,2
South Africa,10,
Japan,9,
Canada,10,1
Ukraine,10,
Ecuador,10,
Russia,10,4
Macao,3,
Australia,10,
Poland,10,
Kazakhstan,10,5
Argentina,10,
Taiwan,9,
Vietnam,10,6
Latvia,10,
Ghana,10,
Thailand,10,7
Panama,10,
Malta,10,
Georgia,10,
Uganda,10,
United States,10,
Singapore,10,
Chile,10,
Norway,8,
Indonesia,10,
Finland,10,
Bulgaria,10,
Cyprus,10,
Belgium,5,
Spain,10,
Czechia,10,
Iran,5,4
Venezuela,10,2
Slovenia,10,
Guam,10,
Colombia,10,1
France,10,
Estonia,1,
Romania,10,
United Kingdom,10,3
Saudi Arabia,6,
Israel,8,
Nicaragua,10,
Moldova,10,
Bahamas,3,
Slovakia,4,
Botswana,5,
Brunei,9,
Albania,10,
Ireland,10,
Cambodia,10,
Azerbaijan,9,1
United Arab Emirates,6,1
Trinidad and Tobago,3,
Serbia,10,
Netherlands,10,
Uruguay,6,
Portugal,10,
Lithuania,10,
Denmark,10,
Andorra,1,
Kuwait,10,10
Reunion,2,
Pakistan,6,6
Mexico,10,1
Dominican Republic,9,
Costa Rica,10,
North Macedonia,4,
Bosnia and Herzegovina,9,
Iceland,1,
Yemen,2,1
Angola,3,
Peru,1,
Paraguay,10,
Honduras,10,
Benin,5,
Malaysia,10,
Curacao,9,
New Caledonia,1,
Suriname,1,
Hungary,2,
Bangladesh,9,8
Mongolia,8,
Mozambique,1,
Oman,2,
Iraq,2,
Philippines,10,1
Morocco,2,
Nepal,1,
Tajikistan,8,
Greece,9,
Turkey,7,
Belarus,5,
Qatar,3,
Germany,3,
Tunisia,1,
China,3,3
El Salvador,3,
Gambia,2,
Namibia,1,
Algeria,1,1
Liberia,4,
Austria,2,
Bolivia,3,
