Brazil,10,
India,10,4
South Korea,10,2
Japan,10,2
Sweden,10,1
Russia,10,1
Latvia,10,
Azerbaijan,10,
Armenia,10,
Canada,10,1
Poland,10,
Thailand,9,4
Taiwan,9,
Mexico,10,
Hong Kong,10,
Ghana,10,
Uganda,10,
United States,10,
Italy,10,
Belarus,10,
Argentina,10,
Spain,10,
Netherlands,10,1
Bangladesh,10,7
France,10,1
Ukraine,10,3
South Africa,10,
Kazakhstan,10,5
Mozambique,9,
North Macedonia,1,
Bulgaria,10,
Ecuador,10,1
Malaysia,10,1
Benin,10,
Australia,10,
Serbia,10,
Slovakia,10,
Panama,9,
Vietnam,10,2
Iraq,4,
Pakistan,10,10
Singapore,10,
Costa Rica,10,
Czechia,10,
Venezuela,10,1
Slovenia,10,
Indonesia,10,
Trinidad and Tobago,5,
Chile,10,
Denmark,10,
United Kingdom,10,1
Romania,10,
Hungary,10,
Lithuania,10,
China,8,8
Brunei,7,
Greece,8,1
Turkey,10,7
Nicaragua,10,
Moldova,9,
Cyprus,10,
Bosnia and Herzegovina,10,
Iran,3,1
Peru,8,
Colombia,10,1
Georgia,10,
Botswana,4,
Mongolia,4,
New Zealand,5,
Kuwait,10,10
Sri Lanka,1,
Finland,10,
Israel,8,
Saudi Arabia,10,
Morocco,3,
Belgium,10,1
Ireland,10,
Dominican Republic,10,
Honduras,4,
Cambodia,10,
Portugal,10,
Curacao,6,
Switzerland,1,
Norway,10,
Egypt,2,2
Paraguay,10,
Bolivia,3,
El Salvador,4,
Puerto Rico,10,
Tanzania,1,
Guam,10,
Angola,6,
Estonia,9,1
Uruguay,6,
Germany,10,2
Reunion,2,
Algeria,5,4
Croatia,1,
Austria,4,
Palestine,4,
Luxembourg,2,
Iceland,5,
Malta,3,
Qatar,3,
Somalia,5,
Northern Mariana Islands,2,
Philippines,3,
United Arab Emirates,7,1
Palestinian Territory,1,
Albania,10,
Nepal,5,3
Liberia,1,
Macao,5,
Jordan,2,
Suriname,1,
Saint Lucia,3,
Namibia,1,
Seychelles,1,
Guatemala,1,
