South Korea,9,1
Japan,10,
Brazil,7,
Canada,7,
Mexico,10,
Venezuela,10,
Colombia,10,
Vietnam,8,3
Romania,9,
Ecuador,8,
Hong Kong,7,
Costa Rica,9,
United States,10,
Lithuania,10,
United Kingdom,10,1
Australia,9,1
Ukraine,9,1
Netherlands,8,2
Georgia,10,1
Taiwan,9,
Honduras,5,
Armenia,6,
Chile,8,
Panama,10,
Tajikistan,5,
Thailand,6,2
Bulgaria,10,
Latvia,10,1
Russia,7,
India,10,4
Argentina,10,
Kazakhstan,9,4
Sweden,10,
Uganda,9,
Cambodia,10,
Poland,10,
Estonia,10,
Ireland,6,
Moldova,7,
Indonesia,8,
South Africa,10,
Macao,8,
Saudi Arabia,5,1
Greece,3,
Israel,5,
Paraguay,10,
Turkey,10,1
Qatar,10,
Angola,3,
Portugal,7,
Bangladesh,10,4
Singapore,9,
Slovenia,6,
Czechia,10,
Philippines,9,
Suriname,2,
Botswana,3,
Ghana,10,
Spain,9,
Guam,8,
China,6,6
Trinidad and Tobago,8,
Nicaragua,10,
Cyprus,5,
Italy,10,1
Somalia,1,
United Arab Emirates,3,
Benin,7,
Iran,2,
New Zealand,10,
Malta,10,
Mongolia,7,
Serbia,9,
Mozambique,10,
Northern Mariana Islands,2,
Belgium,4,1
Albania,6,
Austria,6,
Kenya,3,
Kuwait,1,1
Morocco,1,
Denmark,1,
Pakistan,9,9
Belize,1,
Azerbaijan,2,1
France,9,
Germany,5,1
Iraq,3,
Brunei,3,
Hungary,1,
Finland,4,
Malaysia,2,1
Belarus,3,
Algeria,3,3
North Macedonia,2,
Bosnia and Herzegovina,1,
Egypt,2,
Norway,1,
Switzerland,1,
